,Unnamed: 0,acc,auc_sc,bp,f_1,fn,fp,name,p,r,tf,tn,tp
0,,0.9500489715964741,0.9002976755969345,C 0.05;penalty l2;random_state 42,0.8595041322314049,34.0,17.0,lr,0.9017341040462428,0.8210526315789474,features/df_tweet_tfidf_train.pickle,814.0,156.0
1,,0.9500489715964741,0.9002976755969345,C 0.05;penalty l2;random_state 42,0.8595041322314049,34.0,17.0,lr,0.9017341040462428,0.8210526315789474,features/df_tweet_tf_train.pickle,814.0,156.0
2,,0.9471106758080313,0.9127018810564317,C 1;penalty l2;random_state 42,0.8578947368421053,27.0,27.0,lr,0.8578947368421053,0.8578947368421053,features/df_tweet_train.pickle,804.0,163.0
3,,0.941234084231146,0.8969124073722212,C 0.05;penalty l2;random_state 42,0.839572192513369,33.0,27.0,lr,0.8532608695652174,0.8263157894736842,features/df_tweetbio_tfidf_train.pickle,804.0,157.0
4,,0.941234084231146,0.8969124073722212,C 0.05;penalty l2;random_state 42,0.839572192513369,33.0,27.0,lr,0.8532608695652174,0.8263157894736842,features/df_tweetbio_tf_train.pickle,804.0,157.0
5,,0.9324191968658179,0.8874374564570271,C 0.1;penalty l2;random_state 42,0.8179419525065964,35.0,34.0,lr,0.8201058201058201,0.8157894736842105,features/df_tweetbio_train.pickle,797.0,155.0
6,,0.9353574926542605,0.8790930394578503,C 0.5;penalty l2;random_state 42,0.819672131147541,40.0,26.0,lr,0.8522727272727273,0.7894736842105263,features/df_tweet_tfidf_train_nc.pickle,805.0,150.0
7,,0.9353574926542605,0.8790930394578503,C 0.5;penalty l2;random_state 42,0.819672131147541,40.0,26.0,lr,0.8522727272727273,0.7894736842105263,features/df_tweet_tf_train_nc.pickle,805.0,150.0
8,,0.9392752203721841,0.8896193552473239,C 0.5;penalty l2;random_state 42,0.8324324324324324,36.0,26.0,lr,0.8555555555555555,0.8105263157894737,features/df_tweet_train_nc.pickle,805.0,154.0
9,,0.9363369245837414,0.8898441953258598,C 0.05;penalty l2;random_state 42,0.8266666666666665,35.0,30.0,lr,0.8378378378378378,0.8157894736842105,features/df_tweetbio_tfidf_train_nc.pickle,801.0,155.0
10,,0.9363369245837414,0.8898441953258598,C 0.05;penalty l2;random_state 42,0.8266666666666665,35.0,30.0,lr,0.8378378378378378,0.8157894736842105,features/df_tweetbio_tf_train_nc.pickle,801.0,155.0
11,,0.9226248775710089,0.871271138134144,C 0.5;penalty l2;random_state 42,0.7915567282321899,40.0,39.0,lr,0.7936507936507936,0.7894736842105263,features/df_tweetbio_train_nc.pickle,792.0,150.0
12,,0.8873653281096964,0.752175565266958,C 0.5;penalty l1;random_state 42,0.6394984326018809,88.0,27.0,lr,0.7906976744186046,0.5368421052631579,features/df_tweet_count_features_train.pickle,804.0,102.0
13,,0.9040156709108716,0.8354803977452657,criterion entropy;random_state 42,0.7379679144385027,52.0,46.0,dt,0.75,0.7263157894736842,features/df_tweet_tfidf_train.pickle,785.0,138.0
14,,0.9040156709108716,0.8354803977452657,criterion entropy;random_state 42,0.7379679144385027,52.0,46.0,dt,0.75,0.7263157894736842,features/df_tweet_tf_train.pickle,785.0,138.0
15,,0.9333986287952988,0.8961587180948762,criterion gini;random_state 42,0.8238341968911916,31.0,37.0,dt,0.8112244897959183,0.8368421052631579,features/df_tweet_train.pickle,794.0,159.0
16,,0.8971596474045054,0.8292387104946483,criterion gini;random_state 42,0.7229551451187335,53.0,52.0,dt,0.7248677248677249,0.7210526315789474,features/df_tweetbio_tfidf_train.pickle,779.0,137.0
17,,0.8971596474045054,0.8292387104946483,criterion gini;random_state 42,0.7229551451187335,53.0,52.0,dt,0.7248677248677249,0.7210526315789474,features/df_tweetbio_tf_train.pickle,779.0,137.0
18,,0.8550440744368266,0.8013363734245361,criterion gini;random_state 42,0.6476190476190475,54.0,94.0,dt,0.591304347826087,0.7157894736842105,features/df_tweetbio_train.pickle,737.0,136.0
19,,0.9079333986287953,0.8297675596934575,criterion gini;random_state 42,0.7403314917127073,56.0,38.0,dt,0.7790697674418605,0.7052631578947368,features/df_tweet_tfidf_train_nc.pickle,793.0,134.0
20,,0.9079333986287953,0.8297675596934575,criterion gini;random_state 42,0.7403314917127073,56.0,38.0,dt,0.7790697674418605,0.7052631578947368,features/df_tweet_tf_train_nc.pickle,793.0,134.0
21,,0.9030362389813908,0.8389385014883779,criterion entropy;random_state 42,0.7387862796833774,50.0,49.0,dt,0.7407407407407407,0.7368421052631579,features/df_tweet_train_nc.pickle,782.0,140.0
22,,0.8824681684622919,0.7857052378238014,criterion gini;random_state 42,0.6666666666666667,70.0,50.0,dt,0.7058823529411765,0.631578947368421,features/df_tweetbio_tfidf_train_nc.pickle,781.0,120.0
23,,0.8824681684622919,0.7857052378238014,criterion gini;random_state 42,0.6666666666666667,70.0,50.0,dt,0.7058823529411765,0.631578947368421,features/df_tweetbio_tf_train_nc.pickle,781.0,120.0
24,,0.8903036238981391,0.8148774463233897,criterion entropy;random_state 42,0.7021276595744681,58.0,54.0,dt,0.7096774193548387,0.6947368421052632,features/df_tweetbio_train_nc.pickle,777.0,132.0
25,,0.7688540646425074,0.6753119260244473,criterion entropy;random_state 42,0.4587155963302752,90.0,146.0,dt,0.4065040650406504,0.5263157894736842,features/df_tweet_count_features_train.pickle,685.0,100.0
26,,0.9245837414299706,0.8034581037431123,criterion gini;random_state 42,0.7508090614886731,74.0,3.0,rf,0.9747899159663865,0.6105263157894737,features/df_tweet_tfidf_train.pickle,828.0,116.0
27,,0.9245837414299706,0.8034581037431123,criterion gini;random_state 42,0.7508090614886731,74.0,3.0,rf,0.9747899159663865,0.6105263157894737,features/df_tweet_tf_train.pickle,828.0,116.0
28,,0.9226248775710089,0.8042846285388562,criterion gini;random_state 42,0.7476038338658147,73.0,6.0,rf,0.9512195121951219,0.6157894736842106,features/df_tweet_train.pickle,825.0,117.0
29,,0.901077375122429,0.7443599974665907,criterion gini;random_state 42,0.6505190311418685,96.0,5.0,rf,0.9494949494949495,0.49473684210526314,features/df_tweetbio_tfidf_train.pickle,826.0,94.0
30,,0.901077375122429,0.7443599974665907,criterion gini;random_state 42,0.6505190311418685,96.0,5.0,rf,0.9494949494949495,0.49473684210526314,features/df_tweetbio_tf_train.pickle,826.0,94.0
31,,0.8932419196865817,0.7233073658876433,criterion entropy;random_state 42,0.6120996441281138,104.0,5.0,rf,0.945054945054945,0.45263157894736844,features/df_tweetbio_train.pickle,826.0,86.0
32,,0.9187071498530852,0.7917284185192223,criterion gini;random_state 42,0.7296416938110748,78.0,5.0,rf,0.9572649572649573,0.5894736842105263,features/df_tweet_tfidf_train_nc.pickle,826.0,112.0
33,,0.9187071498530852,0.7917284185192223,criterion gini;random_state 42,0.7296416938110748,78.0,5.0,rf,0.9572649572649573,0.5894736842105263,features/df_tweet_tf_train_nc.pickle,826.0,112.0
34,,0.920666013712047,0.7929317879536386,criterion gini;random_state 42,0.7344262295081966,78.0,3.0,rf,0.9739130434782609,0.5894736842105263,features/df_tweet_train_nc.pickle,828.0,112.0
35,,0.8873653281096964,0.7136075748939135,criterion gini;random_state 42,0.590747330960854,107.0,8.0,rf,0.9120879120879121,0.4368421052631579,features/df_tweetbio_tfidf_train_nc.pickle,823.0,83.0
36,,0.8873653281096964,0.7136075748939135,criterion gini;random_state 42,0.590747330960854,107.0,8.0,rf,0.9120879120879121,0.4368421052631579,features/df_tweetbio_tf_train_nc.pickle,823.0,83.0
37,,0.8765915768854065,0.6826303122427007,criterion entropy;random_state 42,0.5298507462686568,119.0,7.0,rf,0.9102564102564102,0.3736842105263158,features/df_tweetbio_train_nc.pickle,824.0,71.0
38,,0.8511263467189031,0.6608968269048072,criterion gini;random_state 42,0.47222222222222215,122.0,30.0,rf,0.6938775510204082,0.35789473684210527,features/df_tweet_count_features_train.pickle,801.0,68.0
39,,0.9353574926542605,0.8851827221483312,C 0.05;kernel linear;random_state 42,0.8225806451612903,37.0,29.0,svm,0.8406593406593407,0.8052631578947368,features/df_tweet_train.pickle,802.0,153.0
40,,0.9520078354554359,0.89338146811071,ensemble,0.8611898016997167,38.0,11.0,ensemble,0.9325153374233128,0.8,features/df_tweet_train.pickle,820.0,152.0
0,0.0,0.8971596360206604,0.8292387127876282,,0.722955048084259,53.0,52.0,cnn,0.7248677015304565,0.7210526466369629,gs://dissertation_bucket/fasttext300_cnn,779.0,137.0
0,0.0,0.9412341117858888,0.8867629170417786,,0.8351647853851318,38.0,22.0,cnn,0.8735632300376892,0.8000000119209291,gs://dissertation_bucket/glove300_840_cnn,809.0,152.0
0,0.0,0.9206660389900208,0.8538286089897156,,0.7780821919441223,48.0,33.0,cnn,0.8114285469055176,0.7473683953285217,gs://dissertation_bucket/w2v_cnn,798.0,142.0
0,0.0,0.9784525036811828,0.9563146233558656,,0.940860152244568,15.0,7.0,gs://dissertation_bucket/bert,0.9615384340286256,0.921052634716034,,824.0,175.0
0,,0.9177277179236043,0.8439039837861803,C 1;penalty l2;random_state 42,0.7666666666666667,52.0,32.0,lr,0.8117647058823529,0.7263157894736842,fasttext_300_sum,799.0,138.0
1,,0.8472086190009794,0.7356260687820634,criterion entropy;random_state 42,0.5760869565217391,84.0,72.0,dt,0.5955056179775281,0.5578947368421052,fasttext_300_sum,759.0,106.0
2,,0.8775710088148874,0.6812021027297486,criterion gini;random_state 42,0.5283018867924527,120.0,5.0,rf,0.9333333333333333,0.3684210526315789,fasttext_300_sum,826.0,70.0
3,,0.9196865817825661,0.8511970359110772,C 1;kernel linear;random_state 42,0.7747252747252746,49.0,33.0,svm,0.8103448275862069,0.7421052631578947,fasttext_300_sum,798.0,141.0
4,,0.931439764936337,0.8705966178985368,C 1;penalty l2;random_state 42,0.8076923076923077,43.0,27.0,lr,0.8448275862068966,0.7736842105263158,fasttext_300_sum_plusCounts,804.0,147.0
5,,0.8687561214495593,0.761042497941605,criterion entropy;random_state 42,0.6256983240223464,78.0,56.0,dt,0.6666666666666666,0.5894736842105263,fasttext_300_sum_plusCounts,775.0,112.0
6,,0.8746327130264446,0.6773671543479638,criterion entropy;random_state 42,0.518796992481203,121.0,7.0,rf,0.9078947368421053,0.3631578947368421,fasttext_300_sum_plusCounts,824.0,69.0
7,,0.9294809010773751,0.8714231426942809,C 1;kernel linear;random_state 42,0.8043478260869564,42.0,30.0,svm,0.8314606741573034,0.7789473684210526,fasttext_300_sum_plusCounts,801.0,148.0
8,,0.9187071498530852,0.8343561973525871,ensemble,0.7621776504297995,57.0,26.0,ensemble,0.8364779874213837,0.7,fasttext_300_sum,805.0,133.0
9,,0.930460333006856,0.8578155678003673,ensemble,0.7988668555240793,49.0,22.0,ensemble,0.8650306748466258,0.7421052631578947,fasttext_300_sum_plusCounts,809.0,141.0
0,,0.9353574926542605,0.8709734625372094,C 1;penalty l2;random_state 42,0.8156424581005587,44.0,22.0,lr,0.8690476190476191,0.7684210526315789,glove_300_sum,809.0,146.0
1,,0.8667972575905974,0.7699885996579897,criterion entropy;random_state 42,0.6324324324324324,73.0,63.0,dt,0.65,0.6157894736842106,glove_300_sum,768.0,117.0
2,,0.8922624877571009,0.7227056811704352,criterion entropy;random_state 42,0.6099290780141844,104.0,6.0,rf,0.9347826086956522,0.45263157894736844,glove_300_sum,825.0,86.0
3,,0.9392752203721841,0.8754100956362024,C 0.1;kernel linear;random_state 42,0.8258426966292135,43.0,19.0,svm,0.8855421686746988,0.7736842105263158,glove_300_sum,812.0,147.0
4,,0.951028403525955,0.8948096776236621,C 0.05;penalty l2;random_state 42,0.8595505617977528,37.0,13.0,lr,0.9216867469879518,0.8052631578947368,glove_300_sum_plusCounts,818.0,153.0
5,,0.8795298726738492,0.7798403952118564,criterion entropy;random_state 42,0.6573816155988857,72.0,51.0,dt,0.6982248520710059,0.6210526315789474,glove_300_sum_plusCounts,780.0,118.0
6,,0.8844270323212536,0.7057128380518083,criterion entropy;random_state 42,0.5755395683453236,110.0,8.0,rf,0.9090909090909091,0.42105263157894735,glove_300_sum_plusCounts,823.0,80.0
7,,0.951028403525955,0.9049591487744632,C 0.1;kernel linear;random_state 42,0.8633879781420765,32.0,18.0,svm,0.8977272727272727,0.8315789473684211,glove_300_sum_plusCounts,813.0,158.0
0,,0.9177277179236043,0.8236050414845778,C 0.05;penalty l2;random_state 42,0.7529411764705883,62.0,22.0,lr,0.8533333333333334,0.6736842105263158,glove_twitter200_sum,809.0,128.0
1,,0.8462291870714985,0.7269048071442143,criterion gini;random_state 42,0.5650969529085872,88.0,69.0,dt,0.5964912280701754,0.5368421052631579,glove_twitter200_sum,762.0,102.0
2,,0.8922624877571009,0.730825258091076,criterion entropy;random_state 42,0.6206896551724138,100.0,10.0,rf,0.9,0.47368421052631576,glove_twitter200_sum,821.0,90.0
3,,0.9294809010773751,0.8490943061625182,C 10;kernel rbf;random_state 42,0.791907514450867,53.0,19.0,svm,0.8782051282051282,0.7210526315789474,glove_twitter200_sum,812.0,137.0
4,,0.9245837414299706,0.8542054594971182,C 1;penalty l1;random_state 42,0.785515320334262,49.0,28.0,lr,0.834319526627219,0.7421052631578947,glove_twitter200_sum_plusCounts,803.0,141.0
5,,0.8942213516160626,0.821343973652543,criterion entropy;random_state 42,0.7127659574468086,56.0,52.0,dt,0.7204301075268817,0.7052631578947368,glove_twitter200_sum_plusCounts,779.0,134.0
6,,0.8883447600391773,0.7202989423016024,criterion gini;random_state 42,0.6013986013986015,104.0,10.0,rf,0.8958333333333334,0.45263157894736844,glove_twitter200_sum_plusCounts,821.0,86.0
7,,0.9177277179236043,0.8520235607068213,C 10;kernel linear;random_state 42,0.7717391304347826,48.0,36.0,svm,0.797752808988764,0.7473684210526316,glove_twitter200_sum_plusCounts,795.0,142.0
8,,0.931439764936337,0.8543574640572552,ensemble,0.7988505747126436,51.0,19.0,ensemble,0.879746835443038,0.7315789473684211,glove_twitter200_sum,812.0,139.0
9,,0.920666013712047,0.8396193552473241,ensemble,0.7692307692307693,55.0,26.0,ensemble,0.8385093167701864,0.7105263157894737,glove_twitter200_sum_plusCounts,805.0,135.0
0,,0.9275220372184133,0.8641300905693837,C 0.5;penalty l2;random_state 42,0.7967032967032968,45.0,29.0,lr,0.8333333333333334,0.7631578947368421,w2v_300_sum,802.0,145.0
1,,0.8481880509304603,0.7199885996579899,criterion entropy;random_state 42,0.5584045584045585,92.0,63.0,dt,0.6086956521739131,0.5157894736842106,w2v_300_sum,768.0,98.0
2,,0.8736532810969637,0.6767654696307557,criterion entropy;random_state 42,0.5168539325842697,121.0,8.0,rf,0.8961038961038961,0.3631578947368421,w2v_300_sum,823.0,69.0
3,,0.9490695396669931,0.8895465197289253,C 10;kernel rbf;random_state 42,0.8531073446327684,39.0,13.0,svm,0.9207317073170732,0.7947368421052632,w2v_300_sum,818.0,151.0
4,,0.9324191968658179,0.8793178795363862,C 1;penalty l2;random_state 42,0.8140161725067386,39.0,30.0,lr,0.8342541436464088,0.7947368421052632,w2v_300_sum_plusCounts,801.0,151.0
5,,0.8756121449559255,0.7835233390335044,criterion entropy;random_state 42,0.6558265582655826,69.0,58.0,dt,0.6759776536312849,0.6368421052631579,w2v_300_sum_plusCounts,773.0,121.0
6,,0.8824681684622919,0.7024795743872315,criterion entropy;random_state 42,0.5683453237410072,111.0,9.0,rf,0.8977272727272727,0.41578947368421054,w2v_300_sum_plusCounts,822.0,79.0
7,,0.9578844270323212,0.9132307302552409,C 10;kernel rbf;random_state 42,0.8815426997245179,30.0,13.0,svm,0.9248554913294798,0.8421052631578947,w2v_300_sum_plusCounts,818.0,160.0
8,,0.9431929480901078,0.8839065171955159,ensemble,0.8379888268156424,40.0,18.0,ensemble,0.8928571428571429,0.7894736842105263,w2v_300_sum,813.0,150.0
9,,0.9451518119490695,0.899319146241054,ensemble,0.8486486486486485,33.0,23.0,ensemble,0.8722222222222222,0.8263157894736842,w2v_300_sum_plusCounts,808.0,157.0
